Feature,Rank
NET_TRANS,1
LOSSES,1
NET_LPR,1
FOOD_OUTSIDE,1
FOOD,1
FOOD_HOME,1
OTHREC,1
TOREC,1
NFOOD,1
TOINC,1
EAINC,2
NET_CFG,3
NET_RET,4
NET_NEC_A10,5
NET_NEC_A9,6
NET_FISH,7
NET_NEC_A8,8
NET_MFG,9
NET_FOR,10
NET_RECEIPT,11
RENTALS_REC,12
IMPUTED_RENT,13
PENSION,14
WAGES,15
OTHER_SOURCE,16
CASH_DOMESTIC,17
DIVIDENDS,18
NETSHARE,19
CASH_ABROAD,20
REGFT,21
INTEREST,22
REG_SAL,23
SEASON_SAL,24
ACTRENT,25
RENTVAL,26
BIMPUTED_RENT,27
ALCOHOL_PROCDUCTION_SERVICES,28
FOOD_ACCOM_SRVC,29
COMMUNICATION,30
FURNISHING,31
TRANSPORT,32
MISCELLANEOUS,33
OCCASION,34
EDUCATION,35
CLOTH,36
HEALTH,37
OTHER_VEG,38
ALCOHOL,39
TOBACCO,40
DURABLE,41
OTHER_EXPENDITURE,42
RECREATION,43
INSURANCE,44
HOUSING_WATER,45
SERVICES_PRIMARY_GOODS,46
FRUIT_VEG,47
VEG,48
FOOD_NEC,49
SUGAR,50
COFFEE,51
WATER,52
COCOA,53
FISH,54
MEAT,55
OTHER_NON_ALCOHOL,56
BREAD,57
MILK,58
FRUIT,59
OIL,60
SOFTDRINKS,61
TEA,62
FSIZE,63
W_PROV,64
W_REGN,65
RPCINC_NIR,66
RPCINC,67
URB,68
NPCINC,69
W_REGN_NIR,70
PPCINC,71
RPROV,72
PRPCINC,73
RPSU,74
RFACT,75
MEM_RFACT,76
SEQ_NO,77
PERCAPITA,78
OTHER_DISBURSEMENT,79
